Z = 0
-,X,X,X,-
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
-,X,X,X,-

Z = 1
-,X,X,X,-
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
-,X,X,X,-

Z = 2
-,X,X,X,-
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
-,X,X,X,-

Z = 3
-,X,X,X,-
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
-,X,X,X,-

Z = 4
-,X,X,X,-
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
-,X,X,X,-

Z = 5
-,X,X,X,-
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
-,X,X,X,-

Z = 6
-,X,X,X,-
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
-,X,X,X,-

Z = 7
-,X,X,X,-
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
-,X,X,X,-

Z = 8
-,-,X,-,-
-,X,X,X,-
X,X,X,X,X
-,X,X,X,-
-,-,X,-,-

Z = 9
-,-,X,-,-
-,X,X,X,-
X,X,X,X,X
-,X,X,X,-
-,-,X,-,-

Z = 10
-,-,X,-,-
-,X,X,X,-
X,X,X,X,X
-,X,X,X,-
-,-,X,-,-

Z = 11
-,-,-,-,-
-,X,X,X,-
-,X,X,X,-
-,X,X,X,-
-,-,-,-,-

Z = 12
-,-,-,-,-
-,X,X,X,-
-,X,X,X,-
-,X,X,X,-
-,-,-,-,-

Z = 13
-,-,-,-,-
-,X,X,X,-
-,X,X,X,-
-,X,X,X,-
-,-,-,-,-

Z = 14
-,-,-,-,-
-,X,X,X,-
-,X,X,X,-
-,X,X,X,-
-,-,-,-,-

